timestamp,message,logStreamName
,ip-10-0-131-60.ec2.internal
1762308444773,2025/11/05 02:07:24 [32m/app/cmd/worker/main.go:159 [33mSLOW SQL >= 200ms,ip-10-0-131-60.ec2.internal
1762308444773,"[0m[31;1m[354.863ms] [33m[rows:1][35m UPDATE ""videos"" SET ""processed_url""='https://anb-123.s3.us-east-1.amazonaws.com/processed/54_processed.mp4',""original_url""='https://anb-123.s3.us-east-1.amazonaws.com/uploads/4_Test_Video_5406_4bf7effd-d303-4d37-8d35-999df1e7815e.mp4',""title""='Test Video 5406',""status""='processed',""uploaded_at""='2025-11-05 01:53:55.079',""processed_at""='2025-11-05 02:07:24.418',""user_id""=4 WHERE ""id"" = 54[0m",ip-10-0-131-60.ec2.internal
1762308444781,2025/11/05 02:07:24 [Video 54] Completed processing at: 2025-11-05T02:07:24Z (Duration: 1m10.268216234s),ip-10-0-131-60.ec2.internal
1762308444812,2025/11/05 02:07:24 Processing video ID: 61,ip-10-0-131-60.ec2.internal
1762308444812,2025/11/05 02:07:24 [Video 61] Started processing at: 2025-11-05T02:07:24Z,ip-10-0-131-60.ec2.internal
1762308470075,
,ip-10-0-138-87.ec2.internal
1762308470075,2025/11/05 02:07:50 [32m/app/cmd/worker/main.go:159 [33mSLOW SQL >= 200ms,ip-10-0-138-87.ec2.internal
1762308470075,"[0m[31;1m[460.753ms] [33m[rows:1][35m UPDATE ""videos"" SET ""processed_url""='https://anb-123.s3.us-east-1.amazonaws.com/processed/61_processed.mp4',""original_url""='https://anb-123.s3.us-east-1.amazonaws.com/uploads/42_Test_Video_8015_032c3a35-2881-4c0e-aafb-5727541e1bd1.mp4',""title""='Test Video 8015',""status""='processed',""uploaded_at""='2025-11-05 01:53:57.182',""processed_at""='2025-11-05 02:07:49.614',""user_id""=42 WHERE ""id"" = 61[0m",ip-10-0-138-87.ec2.internal
1762308470084,2025/11/05 02:07:50 [Video 61] Completed processing at: 2025-11-05T02:07:50Z (Duration: 1m9.608410648s),ip-10-0-138-87.ec2.internal
1762308470125,2025/11/05 02:07:50 Processing video ID: 36,ip-10-0-138-87.ec2.internal
1762308470125,2025/11/05 02:07:50 [Video 36] Started processing at: 2025-11-05T02:07:50Z,ip-10-0-138-87.ec2.internal
1762308495678,
,ip-10-0-139-136.ec2.internal
1762308495678,2025/11/05 02:08:15 [32m/app/cmd/worker/main.go:159 [33mSLOW SQL >= 200ms,ip-10-0-139-136.ec2.internal
1762308495678,"[0m[31;1m[3793.303ms] [33m[rows:1][35m UPDATE ""videos"" SET ""processed_url""='https://anb-123.s3.us-east-1.amazonaws.com/processed/81_processed.mp4',""original_url""='https://anb-123.s3.us-east-1.amazonaws.com/uploads/18_Test_Video_1421_be4eb3a6-c34f-43ad-8adc-616db04da5ca.mp4',""title""='Test Video 1421',""status""='processed',""uploaded_at""='2025-11-05 01:54:06.909',""processed_at""='2025-11-05 02:08:11.884',""user_id""=18 WHERE ""id"" = 81[0m",ip-10-0-139-136.ec2.internal
1762308495686,2025/11/05 02:08:15 [Video 81] Completed processing at: 2025-11-05T02:08:15Z (Duration: 1m15.385598689s),ip-10-0-139-136.ec2.internal
1762308495731,2025/11/05 02:08:15 Processing video ID: 30,ip-10-0-139-136.ec2.internal
1762308495731,2025/11/05 02:08:15 [Video 30] Started processing at: 2025-11-05T02:08:15Z,ip-10-0-139-136.ec2.internal
1762308517920,
,ip-10-0-131-60.ec2.internal
1762308517921,2025/11/05 02:08:37 [32m/app/cmd/worker/main.go:159 [33mSLOW SQL >= 200ms,ip-10-0-131-60.ec2.internal
1762308517921,"[0m[31;1m[3938.231ms] [33m[rows:1][35m UPDATE ""videos"" SET ""processed_url""='https://anb-123.s3.us-east-1.amazonaws.com/processed/61_processed.mp4',""original_url""='https://anb-123.s3.us-east-1.amazonaws.com/uploads/42_Test_Video_8015_032c3a35-2881-4c0e-aafb-5727541e1bd1.mp4',""title""='Test Video 8015',""status""='processed',""uploaded_at""='2025-11-05 01:53:57.182',""processed_at""='2025-11-05 02:08:33.974',""user_id""=42 WHERE ""id"" = 61[0m",ip-10-0-131-60.ec2.internal
1762308517921,2025/11/05 02:08:37 [Video 61] Completed processing at: 2025-11-05T02:08:37Z (Duration: 1m13.109058569s),ip-10-0-131-60.ec2.internal
1762308517955,2025/11/05 02:08:37 Processing video ID: 77,ip-10-0-131-60.ec2.internal
1762308517955,2025/11/05 02:08:37 [Video 77] Started processing at: 2025-11-05T02:08:37Z,ip-10-0-131-60.ec2.internal
1762308542599,
,ip-10-0-138-87.ec2.internal
1762308542599,2025/11/05 02:09:02 [32m/app/cmd/worker/main.go:159 [33mSLOW SQL >= 200ms,ip-10-0-138-87.ec2.internal
1762308542599,"[0m[31;1m[3350.767ms] [33m[rows:1][35m UPDATE ""videos"" SET ""processed_url""='https://anb-123.s3.us-east-1.amazonaws.com/processed/36_processed.mp4',""original_url""='https://anb-123.s3.us-east-1.amazonaws.com/uploads/7_Test_Video_4497_2ff7c28a-7eb6-4c85-ae6b-c80f89686d52.mp4',""title""='Test Video 4497',""status""='processed',""uploaded_at""='2025-11-05 01:53:48.409',""processed_at""='2025-11-05 02:08:59.247',""user_id""=7 WHERE ""id"" = 36[0m",ip-10-0-138-87.ec2.internal
1762308542606,2025/11/05 02:09:02 [Video 36] Completed processing at: 2025-11-05T02:09:02Z (Duration: 1m12.480840191s),ip-10-0-138-87.ec2.internal
1762308542634,2025/11/05 02:09:02 Processing video ID: 43,ip-10-0-138-87.ec2.internal
1762308542634,2025/11/05 02:09:02 [Video 43] Started processing at: 2025-11-05T02:09:02Z,ip-10-0-138-87.ec2.internal
1762308566851,
,ip-10-0-139-136.ec2.internal
